Date,Close
5/8/17,83.91
5/9/17,83.15
5/10/17,83.53
5/11/17,82.44
5/12/17,81.74
5/15/17,82.15
5/16/17,82.99
5/17/17,80.57
5/18/17,81.45
5/19/17,82.13
5/22/17,82.95
5/23/17,83.66
5/24/17,83.82
5/25/17,83.24
5/26/17,82.46
5/30/17,81.66
5/31/17,80.53
6/1/17,81.32
6/2/17,81.19
6/5/17,81.22
6/6/17,80.57
6/7/17,80.62
6/8/17,82.86
6/9/17,85.16
6/12/17,85.22
6/13/17,85.87
6/14/17,85.39
6/15/17,85.13
6/16/17,84.76
6/19/17,85.04
6/20/17,83.35
6/21/17,82.24
6/22/17,80.87
6/23/17,80.72
6/26/17,81.64
6/27/17,82.25
6/28/17,83.04
6/29/17,84.15
6/30/17,84.13
7/3/17,85.85
7/5/17,85.34
7/6/17,84.52
7/7/17,85
7/10/17,84.69
7/11/17,85.03
7/12/17,85.14
7/13/17,85.59
7/14/17,84.99
7/17/17,85.27
7/18/17,85
7/19/17,85.15
7/20/17,85.2
7/21/17,84.76
7/24/17,85.65
7/25/17,87.92
7/26/17,85.31
7/27/17,85.67
7/28/17,85.09
7/31/17,85.07
8/1/17,85.38
8/2/17,85.98
8/3/17,85.35
8/4/17,85.4
8/7/17,84.51
8/8/17,84.53
8/9/17,82.96
8/10/17,81.17
8/11/17,80.22
8/14/17,82
8/15/17,81.92
8/16/17,81.55
8/17/17,79.66
8/18/17,79.46
8/21/17,79.75
8/22/17,79.77
8/23/17,80.33
8/24/17,81.02
8/25/17,81.38
8/28/17,80.74
8/29/17,80.07
8/30/17,80.47
8/31/17,80.48
9/1/17,81.05
9/5/17,79.7
9/6/17,79.37
9/7/17,77.3
9/8/17,78.68
9/11/17,80.42
9/12/17,82.13
9/13/17,82.98
9/14/17,81.98
9/15/17,81.51
9/18/17,83.59
9/19/17,83.74
9/20/17,84.55
9/21/17,84.89
9/22/17,84.88
9/25/17,84.92
9/26/17,85.56
9/27/17,87.25
9/28/17,88.93
9/29/17,89.08
10/2/17,90.17
10/3/17,89.88
10/4/17,88.6
10/5/17,89.83
10/6/17,89.71
10/9/17,89.35
10/10/17,90.2
10/11/17,89.95
10/12/17,89.14
10/13/17,88.55
10/16/17,90.05
10/17/17,88.67
10/18/17,89.74
10/19/17,90.11
10/20/17,90.91
10/23/17,89.85
10/24/17,90.58
10/25/17,87.15
10/26/17,87.35
10/27/17,88.25
10/30/17,86.36
10/31/17,86.47
11/1/17,85.98
11/2/17,86.55
11/3/17,86.82
11/6/17,86.61
11/7/17,84.18
11/8/17,83.85
11/9/17,82.74
11/10/17,82.54
11/13/17,83.33
11/14/17,82.91
11/15/17,83.26
11/16/17,83.29
11/17/17,84.53
11/20/17,85.23
11/21/17,85.37
11/22/17,84.86
11/24/17 13:00,84.7
11/27/17,84.58
11/28/17,87.15
11/29/17,89.88
11/30/17,89
12/1/17,88.55
12/4/17,90.17
12/5/17,88.16
12/6/17,87.37
12/7/17,88.39
12/8/17,88.35
12/11/17,87.95
12/12/17,88.37
12/13/17,89.19
12/14/17,88.64
12/15/17,90.88
12/18/17,92.87
12/19/17,92.37
12/20/17,92.45
12/21/17,93.41
12/22/17,92.91
12/26/17,92.01
12/27/17,92.3
12/28/17,93.49
12/29/17,92.32
1/2/18,92.35
1/3/18,92.25
1/4/18,92.02
1/5/18,92.09
1/8/18,92.23
1/9/18,93.62
1/10/18,94.71
1/11/18,96.24
1/12/18,95.75
1/16/18,95.42
1/17/18,96.4
1/18/18,95.7
1/19/18,96.7
1/22/18,96.7
1/23/18,97.33
1/24/18,97.93
1/25/18,97.37
1/26/18,98.07
1/29/18,98.36
1/30/18,96.86
1/31/18,96.69
2/1/18,97.61
2/2/18,96.11
2/5/18,92.66
2/6/18,93.55
2/7/18,93.7
2/8/18,90.63
2/9/18,92.54
2/12/18,93.83
2/13/18,93.39
2/14/18,95.26
2/15/18,95.42
2/16/18,96.35
2/20/18,95.35
2/21/18,96.61
2/22/18,94.89
2/23/18,96.2
2/26/18,96.83
2/27/18,95.4
2/28/18,94.45
3/1/18,94.84
3/2/18,95.79
